rep,nullA_T,nullB_T,nullA_qSpearman,nullB_qSpearman,nullA_T_d2,nullA_T_d3,nullA_T_d4,nullA_T_d5,nullA_T_d6,nullA_T_d7,nullA_T_d8,nullA_T_d9,nullA_T_d10,nullA_T_d11
186,0.002263,0.000779,0.028993,0.025967,0.0035,0.003761,0.003565,0.001212,0.005625,-0.001414,-0.001997,0.004216,0.001294,-0.001353
187,0.000984,-0.002057,0.027757,0.022256,0.003339,0.000848,0.005248,0.002136,0.003242,0.00252,0.000845,0.002571,0.005614,0.000271
188,0.00266,-0.001425,0.028083,0.023163,0.002887,0.002683,0.003442,-0.000765,0.005012,-0.000593,0.004634,0.001408,0.005925,-0.002575
189,0.003913,-0.00202,0.028091,0.025205,0.002651,0.001309,0.000142,0.002725,0.003924,0.000766,0.004379,0.002623,0.00233,0.004639
190,0.002038,-0.000352,0.027839,0.024686,0.00283,0.001929,0.002143,0.003303,0.0041,0.003715,0.001814,-0.000549,0.002811,0.000842
191,0.003587,0.001779,0.028306,0.024913,0.002308,0.002747,0.001577,0.002773,0.000493,0.003572,0.004881,-0.001157,0.001777,0.003829
192,0.003052,-0.001248,0.028068,0.023825,0.000605,0.002869,0.001646,0.003501,0.002847,0.002822,0.004725,0.004374,-0.0021,0.001355
193,0.003097,0.001296,0.029747,0.024093,0.002454,0.000539,0.001612,0.005408,0.000577,0.002723,0.002548,-0.002613,0.008607,0.012761
194,0.003627,0.000866,0.02847,0.023684,0.004524,0.000355,0.000661,0.004423,0.002734,-0.00107,0.005205,0.000271,0.001842,0.003015
195,0.004166,-0.00044,0.027392,0.025239,0.002293,0.003956,0.000918,0.001759,0.002857,0.000539,0.003395,0.001155,0.000687,0.001278
196,0.001512,-0.002698,0.029409,0.023768,-0.00105,0.006067,-0.00031,-2.7e-05,0.007954,0.000722,0.002312,0.007856,0.009016,0.003386
197,0.003016,-0.001369,0.025928,0.024257,0.00275,0.001904,0.001732,0.00238,0.002751,0.001494,0.005624,0.002968,-0.000184,0.000123
198,0.001296,-0.001317,0.02744,0.024213,0.003895,0.005241,0.000231,0.000707,0.0006,0.0032,0.003229,0.004758,0.001382,0.006872
199,0.001872,0.004482,0.029217,0.025802,0.002733,0.000186,0.001795,0.003879,0.002989,0.004666,0.000519,0.005505,0.006475,-0.000272
200,0.002456,0.001137,0.030133,0.023432,0.00271,0.002922,0.001877,0.002603,0.003508,-0.001258,0.001541,0.004315,0.005729,0.004571
201,0.003244,-0.000701,0.029566,0.022805,0.000996,0.004351,0.001413,0.002015,0.00134,0.004955,1.5e-05,0.001354,0.005663,0.005133
202,-3.2e-05,-0.000161,0.027405,0.023748,0.002435,0.002503,0.005341,0.006461,0.002996,0.002895,0.000633,-0.001479,5.8e-05,-0.00177
203,0.002814,0.002217,0.027394,0.025266,0.00294,0.002845,0.000872,0.002099,0.002155,0.005131,-0.001641,0.004858,0.004533,0.000221
204,0.000347,0.001618,0.026417,0.024286,0.001053,0.003373,0.00349,0.002285,0.003419,-0.000916,0.006217,0.003637,0.010184,0.003441
205,0.002468,-0.000213,0.028965,0.02488,0.001214,0.003636,0.004281,-0.001188,0.004125,0.003076,-0.000677,0.005072,0.002246,0.008531
206,0.002851,-0.001445,0.030092,0.024223,0.003127,0.002574,0.003804,0.002543,0.001522,0.00235,0.000456,-0.001681,0.005089,0.001659
207,0.003237,-0.001507,0.029308,0.020371,0.002064,0.001599,0.005487,0.000153,0.001778,0.002058,0.000269,0.006631,0.00139,0.003256
208,0.000394,-0.002345,0.02817,0.020926,0.005119,0.001409,0.001272,0.006827,-0.000682,0.002722,0.004833,-0.000285,0.003801,0.001796
209,0.005125,0.001587,0.027628,0.022248,0.00287,0.00274,0.002959,0.002404,0.000359,0.002155,-0.002952,0.002293,-0.000986,0.007184
210,0.000264,-0.001739,0.026066,0.024027,0.0022,0.003548,0.002338,0.003456,0.006358,0.000386,0.000747,0.002365,0.006061,0.001567
211,0.001731,-0.001164,0.02995,0.023891,0.003504,0.000148,0.001889,0.001563,0.004512,0.002775,0.007487,-8.5e-05,0.003512,0.004501
212,0.003357,0.001522,0.027415,0.022428,0.001346,0.000353,0.003158,0.003027,0.001858,0.003521,0.001049,0.004944,0.001588,0.012524
213,0.003261,-0.000838,0.028902,0.02436,0.004179,0.00271,0.001798,0.001879,0.001909,0.003894,0.00399,-0.000501,-0.004563,-0.002456
214,0.004424,-0.001008,0.029983,0.023433,0.001069,0.00151,0.001761,0.002453,0.000123,0.002361,0.002687,0.004133,0.007539,0.008912
215,0.002277,0.001163,0.028756,0.023665,0.001737,0.002333,0.001111,0.002313,0.001615,0.006186,0.001796,0.004642,0.003882,0.005569
216,0.001381,-0.000293,0.02784,0.023713,0.001655,0.004685,0.003652,0.002488,0.004052,0.002951,-0.003061,0.001207,0.003492,0.005658
217,0.003763,-0.002741,0.029312,0.023095,0.00034,0.001987,0.004195,0.000975,0.001542,0.000237,0.006787,0.003203,0.004686,0.004045
218,0.001683,-0.001027,0.027688,0.025839,0.003714,0.005895,0.00226,0.00086,0.004115,-0.000176,0.002276,-0.000292,0.001114,-0.003584
219,0.002028,-0.000608,0.026768,0.025569,0.004087,0.001664,0.002061,0.001785,0.001421,0.001474,0.003957,0.004055,0.003478,0.0056
220,0.000743,-0.001059,0.025734,0.022295,0.003786,0.002581,0.001763,0.006286,0.002039,0.000923,0.002239,0.004049,0.002629,-0.00708
221,0.003454,-2.7e-05,0.029636,0.023149,0.000457,0.001321,0.004472,0.002298,0.001606,0.001544,0.002846,0.006203,0.001265,0.007341
222,0.002202,0.000196,0.025883,0.02379,0.003832,0.002985,0.000905,0.001486,0.003992,0.004766,0.000165,0.000761,0.002385,0.0013
223,0.000643,-1.9e-05,0.027612,0.021191,0.000545,0.001312,0.003124,0.003482,0.00271,0.004862,0.00298,0.001959,0.012634,0.006481
224,0.003338,0.001115,0.026572,0.024039,0.002911,0.005169,0.00055,0.002154,0.00177,0.000849,0.003755,-0.003042,0.001493,0.00796
225,0.002865,0.001251,0.030476,0.026311,0.002494,0.001701,0.002963,0.004699,0.00067,0.003203,0.001127,-0.002641,0.006404,0.005713
226,0.002975,-7.1e-05,0.027629,0.0242,0.00272,0.004775,-4.3e-05,0.000654,0.002982,0.001731,0.000421,0.006095,0.003158,0.003594
227,0.003798,0.000803,0.027881,0.024696,0.001635,0.00272,0.001681,0.002417,0.000986,0.002952,0.001596,0.004831,-0.002457,0.013957
228,0.001971,-0.001622,0.030208,0.021372,0.000943,0.002118,0.003097,0.005556,0.001899,0.001337,0.00389,0.001055,0.002029,0.008839
229,0.001885,0.001296,0.02793,0.02383,0.000943,0.002882,0.00152,0.003887,0.003592,0.001528,0.004557,0.003271,0.004512,0.001885
230,0.000949,0.001941,0.030323,0.0239,0.0046,0.000915,0.004587,0.002982,0.001269,0.001169,0.000959,0.004335,0.00148,0.008036
231,0.002343,0.000623,0.028688,0.024783,0.004144,0.000823,0.000282,4.8e-05,0.001549,0.0039,0.008203,0.005474,0.008098,-0.007891
232,0.001176,-0.000377,0.029633,0.021897,0.004601,0.00411,0.000924,0.000232,0.003402,0.002341,0.002387,0.000724,0.007382,-8.2e-05
233,0.002225,-0.000828,0.027917,0.023472,0.002752,0.002062,0.005284,0.001597,0.000766,0.000834,0.004566,0.003689,0.001085,1.3e-05
234,0.003309,0.002971,0.031439,0.026758,0.001521,0.001145,0.001945,0.006041,0.001543,0.004062,0.001675,0.001333,0.001392,0.00075
235,0.00242,0.001765,0.028178,0.024203,0.004467,0.000854,0.001459,0.001789,0.004091,0.002599,0.003554,-0.001251,0.004817,0.002766
236,0.003458,-0.000682,0.028282,0.027666,0.003657,0.002557,-0.000973,0.003509,0.001392,0.002592,0.002596,0.000997,0.005774,0.003027
237,0.000991,-0.001217,0.026455,0.025133,0.00108,0.000933,0.001557,0.004511,0.002987,0.005402,0.003609,0.004019,0.006002,0.006088
238,0.002552,0.001201,0.028556,0.024518,0.001234,0.002616,0.000485,0.002262,0.002703,0.005787,0.002068,0.007535,0.002039,-0.000173
239,0.003238,0.000844,0.027277,0.025493,0.001575,0.004536,0.0016,0.002787,0.000499,0.005818,-0.000114,0.000251,0.003566,-0.000453
240,0.002337,0.000156,0.029391,0.023051,-0.000404,0.00396,0.003469,0.002088,0.001617,0.002903,0.006584,0.003456,-0.002533,0.008104
241,0.002815,-0.002792,0.027753,0.022476,0.000791,0.000451,0.005101,0.002259,0.003086,0.003771,0.00092,0.000606,0.0087,0.003796
242,0.002061,-0.001476,0.026543,0.024461,0.003094,0.003127,0.003279,0.001433,0.000215,0.007476,0.003354,-0.002116,-0.000131,0.000133
243,0.003205,0.001199,0.028364,0.023174,0.003481,0.000473,0.003368,0.003911,0.002223,0.001048,0.002929,0.002993,-0.003559,0.002689
244,0.004465,-0.002818,0.030512,0.02291,0.002393,0.001891,0.002278,0.000998,0.002942,0.000431,0.003042,-0.000525,0.004494,0.008833
245,0.003919,-0.001673,0.029752,0.023417,0.002668,0.001713,0.001044,0.002801,0.002322,0.002348,0.003169,0.003146,0.002668,-0.002816
246,0.001951,-0.000586,0.028453,0.023641,0.003173,0.003714,0.002302,0.004685,0.001563,-0.001096,0.000623,0.003508,0.004602,-0.000349
247,0.00277,-0.002322,0.028696,0.021211,0.000718,0.00126,0.001973,0.005707,0.004835,0.0011,0.004085,0.000865,0.002912,-0.000342
248,0.00303,0.001405,0.027902,0.026967,-0.000368,0.003208,0.005421,0.000125,0.004555,-4.6e-05,0.003365,0.002169,0.003975,0.005797
249,0.003072,0.000218,0.030607,0.023387,0.001902,0.004217,0.000355,0.003245,0.000641,0.0035,0.000337,0.006257,-0.000569,0.006907
250,0.002595,-0.001318,0.029042,0.023245,0.001007,0.000931,0.004456,0.00191,0.001336,0.007479,-0.000277,0.005171,0.002165,0.003317
251,0.003823,-0.000998,0.028296,0.025104,0.001701,0.000714,-0.000638,0.003912,0.005858,-0.001687,0.006228,0.001559,0.00861,0.002372
252,0.004782,0.000594,0.028906,0.021589,-7e-05,0.00197,0.002679,0.004546,0.004179,-0.001134,0.001524,0.001315,0.001628,0.007938
253,0.001237,0.000544,0.025299,0.023874,0.002093,0.003091,0.002679,0.003144,-0.000432,0.003697,0.004065,0.002109,0.003031,0.013486
254,0.001029,-0.001786,0.027321,0.023501,0.002831,0.002972,0.003269,0.004132,0.006618,0.000927,0.000988,0.00279,-0.004276,-0.005941
255,0.002574,-0.000235,0.028501,0.024921,0.003307,0.004743,0.003692,0.000894,0.00147,0.002857,0.001654,-5.6e-05,-0.005033,0.003984
256,0.000615,-0.000356,0.026324,0.021157,0.00135,0.002726,0.001571,0.005027,0.0052,0.003647,0.002816,-0.001335,0.005339,0.003787
257,-0.000448,0.001797,0.028293,0.024286,0.003198,0.003918,0.002096,0.006239,0.001924,0.0019,0.002171,-0.002405,0.007882,0.002494
258,-0.000478,-0.000656,0.02742,0.023019,0.002285,0.003992,0.004193,0.001426,0.004376,0.002591,0.003134,-0.001806,0.006704,0.00691
259,0.003739,0.001693,0.028556,0.024864,0.000927,0.001627,0.002964,0.002425,0.001623,-0.000239,0.0047,0.003751,0.003325,0.012577
260,0.003361,0.001486,0.0273,0.025162,0.003117,0.001754,0.002263,0.003939,-0.000585,0.005262,0.000104,0.002021,0.002535,-0.000174
261,0.001605,-0.000618,0.027837,0.024216,0.004021,0.002563,0.0033,0.000976,-0.000282,0.001805,0.006237,0.006109,-0.002567,0.003876
262,0.001462,0.000758,0.027557,0.025831,0.002571,0.002539,0.005537,0.002796,0.0007,0.001904,0.00283,0.005456,-0.001372,-0.003567
263,0.003654,0.001076,0.028713,0.025243,0.002104,0.002904,0.004537,0.001819,-0.000159,0.002657,-0.001434,0.006128,0.000553,0.001189
264,0.003295,-0.001146,0.028531,0.020706,0.001805,0.000872,0.00179,0.005242,1.6e-05,0.003823,0.006308,0.000477,-0.000748,0.006036
265,0.001893,0.001824,0.026638,0.024318,0.002312,-0.001544,0.002553,0.001815,0.004043,0.001448,0.005963,0.007328,0.007043,0.009302
266,0.003928,-0.001281,0.029605,0.022158,0.003726,0.002729,0.000883,-0.001213,0.004205,0.002739,0.002869,-0.001062,0.003373,0.005972
267,0.000519,0.001873,0.027244,0.026012,0.002218,0.003606,0.005291,0.001862,-0.00013,0.002775,0.00481,0.003153,0.003248,-0.000399
268,0.004695,-0.000398,0.027507,0.025867,0.00257,0.001597,-0.000886,0.000565,0.004678,0.000651,0.000851,0.007864,0.007034,0.002607
269,0.002814,-0.001685,0.029672,0.02412,0.001802,0.001038,0.002878,0.002674,0.003351,0.002374,0.002665,0.003236,0.000581,0.009954
270,0.003787,0.000778,0.026914,0.025717,0.002619,7e-05,0.003147,0.005226,0.005539,-0.002155,0.004682,0.004369,-0.008128,-0.004803
271,0.002914,0.000159,0.028092,0.022896,0.004141,0.001724,0.001551,0.000564,0.002355,0.004593,0.001388,0.001315,0.002174,0.007383
272,0.001342,-0.002487,0.028208,0.02336,0.004609,0.004553,0.000187,0.002215,-0.000552,0.003969,0.004457,0.0013,0.002564,0.001431
273,0.003513,0.001363,0.028434,0.023812,0.004257,0.005695,0.000807,0.002044,0.001176,-0.002329,0.002731,-0.000483,0.002662,0.000189
274,0.003611,0.001941,0.028479,0.023699,-0.001662,0.003255,0.001902,0.00339,0.003937,0.002778,0.002632,0.007493,-0.000847,0.003523
275,0.003868,0.001918,0.028109,0.024428,-0.000262,0.001635,0.003173,0.004498,0.003642,0.001853,-0.001293,0.003458,0.006169,0.003297
276,0.00098,-0.000635,0.027968,0.025281,0.00303,0.001019,0.003518,0.003839,0.002424,0.002083,0.003677,0.004146,0.006806,-0.007135
277,0.003044,-0.001003,0.030648,0.023071,0.002409,0.001078,0.003094,0.002762,0.004424,0.002578,-5.9e-05,0.000406,0.006847,-0.001523
278,0.000951,0.000168,0.027922,0.023569,0.004019,0.001601,0.002281,0.002651,0.004748,0.002487,0.002218,0.004036,-0.001319,0.00239
279,0.000823,0.000462,0.028716,0.024863,0.001522,0.004384,0.002726,0.00253,0.005573,0.001331,0.00092,0.006212,0.001702,-0.005522
280,0.001445,-0.000713,0.028514,0.027534,0.004817,0.002939,0.00128,0.001861,0.002219,0.002816,0.000642,0.005811,-0.000364,0.003221
281,0.003897,-0.001628,0.029212,0.024766,0.001841,0.001912,0.002127,0.001525,0.003556,0.000901,0.003984,0.00252,1e-06,0.008055
282,0.002195,-0.000292,0.028977,0.023491,0.001057,0.00556,0.005403,0.000381,0.00016,0.000992,0.000633,0.002497,0.004674,0.007993
283,0.002103,-0.000412,0.027396,0.022565,0.002269,0.005285,0.002259,-0.001988,0.004627,0.004014,0.001364,0.001796,0.002157,0.003007
284,0.001634,-0.002507,0.027197,0.023661,0.001894,0.002942,0.00221,0.006097,0.00295,0.004211,0.00325,-0.002704,-0.001844,-0.000181
285,0.004133,0.000258,0.027495,0.025914,0.002582,0.002494,0.001419,4e-05,0.006289,0.002603,-0.001,0.001132,0.002574,0.003307
286,0.004309,-0.001381,0.027583,0.025107,0.002337,0.000119,0.002984,0.001325,0.002623,0.001726,0.005202,0.00507,0.003203,-0.008252
287,0.000588,0.001376,0.02778,0.026793,0.00425,0.003045,0.002454,0.001597,0.00418,0.001419,0.001537,0.004955,0.004375,-0.005544
288,0.002185,-0.002256,0.027881,0.024264,0.000862,0.005195,0.005768,0.001575,0.00059,0.002055,-0.000194,0.003158,0.002804,-0.001154
289,0.002038,-0.001966,0.028004,0.027598,0.002405,0.002649,0.000378,0.00292,0.004441,0.001148,0.006365,0.001697,0.001114,0.004641
290,0.000801,5.1e-05,0.027118,0.0245,0.002431,0.002932,0.002599,0.00278,0.004033,0.002343,0.002181,0.004273,0.004699,-0.00299
291,0.001089,0.001828,0.028384,0.024613,0.003097,0.000651,0.00152,0.003683,0.002001,0.00354,0.004948,0.006025,0.003238,0.00299
292,0.003635,-9.8e-05,0.028739,0.024147,0.000527,0.002817,0.002036,0.00171,0.005748,0.001448,0.002564,0.003124,0.000361,0.002845
293,0.003452,0.001435,0.029299,0.026573,0.003485,0.005364,0.001435,0.001765,-0.001766,-0.000154,0.0047,0.001814,0.003876,-0.002124
294,0.002879,-0.002065,0.028351,0.023943,0.002032,0.003364,0.002009,0.002428,0.003038,0.002445,0.001796,0.002785,-0.001749,0.005727
295,0.005241,0.001665,0.028881,0.025725,0.003535,0.003008,0.001114,0.001894,0.003502,-0.000662,0.002304,-0.002238,-0.000502,0.00196
296,0.00354,0.00065,0.030679,0.025088,0.002519,0.001248,0.002673,0.001183,0.005184,0.000612,0.001257,0.004312,0.004312,-0.0023
297,0.000524,0.003351,0.027994,0.026685,0.002331,0.00285,0.003486,0.001543,0.000209,0.006927,0.002119,0.001149,0.005985,0.01053
298,0.001786,-0.000399,0.028549,0.024258,0.002441,0.00333,0.003128,0.003243,0.001099,0.001662,0.003493,0.00066,0.004963,0.001089
299,0.00368,0.00122,0.028495,0.025357,0.001243,0.0062,0.000943,0.001005,0.000623,0.002216,0.002384,0.003143,0.002405,0.001806
300,0.002049,0.000596,0.026886,0.022262,0.002628,0.003032,0.003719,0.002552,0.003333,0.002242,0.000795,0.002311,-0.002518,0.003528
301,0.001248,0.001507,0.025263,0.025446,0.002046,0.002649,-0.00063,0.002198,0.005262,0.001368,0.007164,0.006915,0.003893,-0.000255
302,0.0036,-0.003047,0.028,0.021619,0.000787,0.001099,0.004716,0.004548,-0.000341,0.003529,0.000898,0.005267,0.000341,0.000952
303,0.000727,-0.000342,0.029249,0.023212,0.003842,0.003536,0.001394,0.003758,-0.000524,0.003171,0.002478,0.006026,0.000744,0.00577
304,0.003705,-0.000705,0.027844,0.022795,0.001095,0.000249,0.004107,0.002756,0.002372,0.001571,0.002251,0.002654,0.007144,0.004172
305,0.002719,0.000164,0.028223,0.023415,0.005133,0.002785,-0.000575,0.003851,0.003173,0.003857,-0.002242,0.001228,0.001043,-0.000196
306,0.002839,0.001064,0.027519,0.024471,0.001431,0.002516,0.003177,0.004609,0.001459,0.002698,0.000519,-0.000452,0.004653,0.005602
307,0.004732,0.001463,0.033228,0.025774,0.000832,0.001456,0.001646,0.004827,0.001741,0.004158,7e-06,0.00241,0.002951,-0.001253
308,0.00223,-0.001574,0.027772,0.02176,0.003174,0.000798,0.004278,0.003332,0.004546,-0.000234,0.002499,0.002168,0.000806,-0.001609
309,0.00399,-0.000511,0.024913,0.024229,0.00275,0.001875,0.001847,0.00397,0.002264,0.003882,-0.000241,-0.000929,0.000949,0.001714
310,0.002515,-0.000567,0.027411,0.024721,0.002018,0.001651,0.00254,0.002435,0.0068,0.004217,-0.00371,0.001803,0.002705,0.005741
311,0.00203,-0.000378,0.027547,0.026487,0.001156,0.001706,0.00436,0.003789,0.002181,-0.000327,0.003473,0.008302,0.001186,0.000246
312,0.003622,0.000684,0.026927,0.024072,0.003165,0.002776,0.003628,0.001062,-0.000338,0.004011,0.003146,0.001861,9.7e-05,-0.005832
313,0.001026,0.00027,0.02724,0.023853,0.003753,0.000927,0.002027,0.000412,0.004435,0.006455,0.002126,0.001233,0.003767,0.008912
314,8.4e-05,9.1e-05,0.027444,0.023522,0.000174,0.005195,0.004296,0.004501,0.000533,0.001007,0.005839,0.000512,0.004621,0.005981
315,0.001122,-0.000947,0.029304,0.022076,0.004631,-0.001271,0.003561,0.00165,0.004538,0.004342,0.003441,0.002901,0.004087,-0.003193
316,0.002615,0.00058,0.027986,0.025788,0.003537,0.003724,-0.000668,0.001912,0.000676,0.002104,0.002425,0.005776,0.00601,0.004265
317,0.001178,0.000386,0.028204,0.025254,0.002838,0.003399,0.004584,0.003085,0.002046,0.000671,0.004583,0.001044,-0.001672,-0.000291
318,0.004242,0.000661,0.028146,0.025373,0.004457,0.000129,0.002873,0.001685,0.003046,0.004273,-0.000598,0.00214,-0.003463,-0.000423
319,0.004673,0.001671,0.02853,0.023966,-0.00092,0.001526,0.003793,0.005041,0.000368,0.004531,0.000499,0.003318,0.00115,0.002903
320,-0.00033,0.001314,0.025571,0.024452,0.0023,0.001879,0.002456,0.001027,0.002808,0.00704,0.006545,0.004794,0.003216,0.001489
321,0.002116,-4.3e-05,0.027668,0.022239,0.000201,0.002158,0.003733,0.004319,0.001337,0.003051,7.2e-05,0.000667,0.0085,0.01608
322,0.002383,-0.001127,0.027696,0.023651,0.001463,0.00417,0.003266,0.001918,0.002199,0.003527,0.000914,0.004476,-0.002094,0.001913
323,0.002169,-0.000362,0.028536,0.023651,0.00375,0.000377,0.000743,0.001823,0.003857,0.005522,0.001803,0.004638,0.003536,0.001319
324,-0.000313,-0.00092,0.027333,0.022754,0.002521,0.003293,0.003197,0.001911,0.004025,0.003832,0.003674,0.001615,0.001956,0.006489
325,0.003989,0.000107,0.03061,0.023746,0.000788,-0.000717,0.001961,0.004786,9.1e-05,0.004228,0.005146,0.001867,0.005715,0.010545
326,0.001232,0.001831,0.027241,0.026053,-0.000983,0.005967,0.003857,0.001229,0.002966,0.006217,0.000352,0.004158,-0.002324,0.008627
327,0.00407,0.00194,0.029999,0.027614,0.001996,0.002889,0.000269,0.002333,0.002008,0.003079,0.002871,-0.002365,0.006457,0.009816
328,0.001438,0.000786,0.029123,0.022075,0.002098,0.002205,0.001569,0.002808,0.004103,0.003876,0.001759,0.006647,-0.003238,0.010181
329,0.000637,-0.00241,0.024567,0.021078,0.001461,0.003277,0.003978,0.003086,0.003183,0.002594,0.001686,0.003518,0.001169,0.007369
330,0.002867,-0.000221,0.028266,0.02487,0.001767,0.002804,0.002496,0.00103,0.003313,0.001421,0.006943,0.002332,-5.8e-05,0.000314
331,0.001821,0.000158,0.027411,0.022624,0.001279,0.002705,0.002014,0.000394,0.004008,0.003139,0.007566,0.00075,0.003148,0.009115
332,0.004767,0.000144,0.030483,0.02512,0.002509,0.000175,0.001106,0.004039,0.003674,0.001928,0.000655,0.004246,0.000736,-0.001229
333,0.00322,0.000721,0.027811,0.027597,0.003483,0.003935,0.000525,-0.00047,0.005115,0.002855,0.00339,0.000275,0.002417,-0.007192
334,0.001464,-0.000424,0.028283,0.023006,0.001825,0.005139,0.004417,0.002644,-1.9e-05,0.001833,0.001612,0.004905,-0.002339,0.003492
335,8.2e-05,-0.002943,0.027728,0.022485,0.002971,0.003852,0.00461,0.005733,0.001009,0.000351,-9e-05,0.005181,0.000848,-0.003457
336,0.00253,0.001783,0.028867,0.022517,0.004666,0.001171,0.001205,0.001717,0.001757,0.003405,0.002866,0.003785,0.003673,-0.000868
337,0.001687,-8.3e-05,0.027215,0.022387,0.004236,0.00367,0.000797,0.003228,0.002687,0.003005,0.003778,-0.000978,-0.004162,0.005742
338,0.001216,0.000342,0.028593,0.023474,0.002133,0.004904,0.001923,0.002616,0.003851,0.005056,-0.000819,0.001755,-0.001966,0.004543
339,0.003618,9.9e-05,0.02929,0.022921,0.001358,0.004997,0.00367,0.001178,-0.002184,0.004422,0.000654,-6.1e-05,0.006784,0.002552
340,0.002475,-0.002849,0.027668,0.02262,0.003192,0.00509,-0.000143,0.001894,0.003266,0.001499,0.001459,0.000973,0.006288,-0.001866
341,0.002117,-0.002556,0.028988,0.023272,0.001338,0.000187,0.003109,0.00388,0.002289,0.001998,0.003995,0.004191,0.008462,0.004029
342,0.002166,0.002441,0.026923,0.025282,0.001855,0.00176,0.001663,0.003025,-0.000227,0.003794,0.005554,0.005275,0.005643,0.004019
343,0.003057,-0.000809,0.026657,0.02516,0.001352,0.00331,0.004534,0.002695,0.002488,-0.000767,-0.003021,0.005609,0.004041,0.007567
344,0.002147,-0.001886,0.027254,0.021383,0.003043,0.002058,0.004297,0.002464,0.005867,0.004669,-0.002155,-0.003194,0.0019,-0.004546
345,0.001564,0.000915,0.028797,0.024213,0.004889,0.002341,0.003234,0.002216,-0.001281,0.002225,0.000651,0.006495,0.001791,0.005913
346,0.003924,0.003709,0.02807,0.024804,0.002629,0.002842,0.001444,0.00398,0.005717,-4.3e-05,-0.000443,-0.0013,0.000141,0.000295
347,0.002854,-0.001035,0.028538,0.025893,0.001643,0.000986,0.00244,0.002712,0.003674,0.003117,0.0028,0.005243,-0.001907,0.00763
348,0.00307,-0.003011,0.028637,0.024894,0.003895,0.003556,0.001763,0.001885,-0.001404,0.003381,-0.000282,0.006141,0.002266,0.001244
349,0.004268,0.000275,0.028362,0.023675,0.000884,0.004084,0.001022,0.002167,-0.000389,0.000578,0.004867,0.00466,0.006166,0.00158
350,0.004191,0.000239,0.026173,0.025068,0.00175,0.003144,0.002637,0.001076,0.003167,0.000165,0.00544,0.003591,-0.004538,-0.000219
351,0.001864,0.000693,0.025303,0.024562,0.003977,-0.000737,0.001652,0.001859,0.004868,0.003372,0.002439,0.006331,0.002979,0.002956
352,0.004654,-9.6e-05,0.030725,0.024551,0.004411,-0.000969,0.003907,0.001781,0.002727,0.000741,0.000979,-0.002007,0.004213,0.006892
353,0.00082,-4.1e-05,0.02893,0.0242,0.003746,0.002109,0.003732,0.002696,0.003124,0.001154,0.003189,0.00089,0.000877,0.007699
354,0.001196,-0.000683,0.029506,0.023842,0.001872,0.002181,0.004336,0.002997,0.000698,0.000272,0.003609,0.003512,0.006743,0.012266
355,0.003099,0.001548,0.028298,0.023707,0.001955,0.001909,0.003294,0.001451,0.002236,0.001171,0.003641,0.00394,0.002907,0.004855
356,0.001937,0.000293,0.026607,0.024926,0.000724,0.005035,0.002872,0.00108,0.000586,0.002315,0.005838,0.003732,0.003731,0.002198
357,-0.000669,-0.000275,0.026635,0.024173,0.004549,0.004256,0.003584,0.004984,-0.000327,-0.001625,0.00322,0.004655,0.000265,0.006394
358,0.003719,-0.000943,0.028572,0.023532,0.001196,0.00396,0.001407,0.000727,0.009152,-0.001226,-0.00057,0.001116,0.002353,0.004185
359,0.002777,0.001308,0.028185,0.022692,0.003103,0.003739,0.000105,0.001478,0.001393,0.0004,0.007573,0.00283,0.003316,0.001421
360,0.002594,-0.000677,0.028341,0.024631,0.005408,0.000683,0.000493,0.002312,0.002864,0.004254,-7.5e-05,0.003663,0.004026,-0.00254
361,0.001845,-0.001515,0.028472,0.026204,0.003523,0.001869,0.001978,0.001786,0.003753,0.004191,0.000951,0.003597,0.000565,0.003736
362,0.003106,0.000316,0.027476,0.023472,0.004645,0.003842,0.00279,0.001084,0.002065,0.003356,-0.003429,-0.002708,0.002437,0.006149
363,0.003904,0.000117,0.028881,0.02385,0.003386,0.004247,-0.000728,0.001591,0.000252,0.001939,0.005763,0.000268,0.005256,-0.002424
364,0.001111,0.002396,0.027353,0.025966,0.003745,0.000141,0.002755,0.00167,0.000145,0.005444,0.007026,0.001866,0.006373,0.004379
365,0.003007,-0.002642,0.029194,0.020405,0.003536,0.002585,1.9e-05,0.003424,0.00377,0.004818,-4.4e-05,0.001796,0.003335,-0.010903
366,0.003603,-0.001968,0.0273,0.022989,0.002875,0.00224,0.001472,0.00214,0.003685,0.002664,0.001074,0.006747,-0.001727,-0.008237
367,0.003691,-5.7e-05,0.030033,0.023994,0.001542,0.003589,0.005067,0.001814,-0.000769,0.00162,0.001932,0.004027,0.000671,-0.002668
368,0.002285,0.000193,0.029148,0.023337,0.003248,0.001988,0.003451,0.003703,-0.001228,0.004179,-0.002328,0.008082,0.00295,0.0001
369,0.001046,0.001065,0.024186,0.02411,0.003233,0.003735,0.003604,0.002118,0.001922,0.002034,0.000848,0.001082,0.004495,0.005214
370,0.002254,0.000828,0.027715,0.027297,0.000672,0.002998,0.00432,0.004429,-0.000854,0.00709,-0.002118,0.002041,0.001065,0.009503
371,0.001211,0.002029,0.026512,0.021685,0.001246,0.002113,0.001738,0.003926,0.004719,0.001992,0.003722,0.003449,0.003799,0.006381
372,0.001359,0.000444,0.027047,0.023281,0.00329,0.002451,0.001821,0.002923,0.002477,0.002687,-0.003576,0.012423,0.003736,-1.9e-05
